market,commodity,unit,record_count,mean_price,minimum_price,maximum_price
Kyaka II (refugee settlement),Batteries,Pair,24,2352.4166666666665,1000.0,3333.0
Nakivale (refugee settlement),Beans,KG,67,2346.1144776119404,1100.0,4000.0
Palorinya (refugee settlement),Jerrycan (5L),Unit,23,2343.1160869565215,1000.0,5000.0
Soroti,Millet,KG,47,2334.1853191489363,1050.0,4850.0
Namalu,Maize flour,KG,77,2332.8111688311687,1650.0,3625.0
Lira,Beans,KG,323,2323.9302786377707,143.82,4929.0
Rwamwanja (refugee settlement),Beans,KG,67,2322.2217910447757,1063.0,4167.0
Mbarara,Maize flour,KG,132,2315.7753030303033,1043.75,4400.0
Kaabong,Cassava flour,KG,36,2306.5,1200.0,3000.0
Adjumani (refugee settlement),Jerrycan (5L),Unit,23,2305.753913043478,1000.0,4000.0
Tororo,Maize flour,KG,44,2302.431818181818,1580.0,3350.0
Nakivale (refugee settlement),Maize flour,KG,67,2301.507462686567,1300.0,3500.0
Karenga,Cassava flour,KG,26,2299.0,1182.0,2688.0
Kapchorwa,Millet,KG,112,2292.6072321428574,1125.0,4800.0
Kasese,Sorghum,KG,49,2292.326530612245,1200.0,4000.0
Bidibidi (refugee settlement),Jerrycan (5L),Unit,23,2277.217391304348,1500.0,3875.0
Rhino Camp (refugee settlement),Underwear,Unit,49,2275.122448979592,1333.33,3303.0
Oruchinga (refugee settlement),Maize flour,KG,67,2274.8358208955224,1200.0,3833.0
Namalu,Millet,KG,4,2264.5825,1800.0,2658.33
Wakiso,Sorghum,KG,18,2264.0,1500.0,2875.0
Kyangwali (refugee settlement),Serving spoon,Unit,24,2250.5695833333334,1000.0,3000.0
Rwamwanja (refugee settlement),Sorghum,KG,59,2225.8474576271187,1417.0,4000.0
Oruchinga (refugee settlement),Beans,KG,67,2204.8358208955224,668.0,4000.0
Soroti,Maize flour,KG,49,2201.4022448979595,1425.0,3100.0
Mukono,Maize (white),KG,22,2194.590909090909,1500.0,3000.0
Kotido,Maize flour,KG,79,2179.1772151898736,1200.0,3800.0
Palorinya (refugee settlement),Underwear,Unit,54,2169.4137037037035,1294.0,3333.0
Rwamwanja (refugee settlement),Leafy vegetables,KG,58,2162.7413793103447,606.0,5000.0
Mbale,Maize flour,KG,74,2160.157702702703,1225.0,3660.0
Kyangwali (refugee settlement),Sorghum,KG,67,2156.6716417910447,933.0,4367.0
Kyaka II (refugee settlement),Serving spoon,Unit,22,2153.666818181818,1000.0,2833.0
Kyaka II (refugee settlement),Sorghum,KG,67,2152.315671641791,1606.0,3250.0
Rhino Camp (refugee settlement),Jerrycan (5L),Unit,22,2150.606818181818,1666.0,3000.0
Makaratin,Maize flour,KG,77,2133.220779220779,1200.0,2960.0
Lobule (refugee settlement),Serving spoon,Unit,24,2132.6666666666665,1000.0,3800.0
Oruchinga (refugee settlement),Serving spoon,Unit,15,2124.133333333333,1000.0,3000.0
Makaratin,Millet,KG,61,2121.655737704918,1000.0,4010.0
Kyangwali (refugee settlement),Rope,Unit,23,2116.3191304347824,1000.0,3167.0
Mbale,Sorghum,KG,66,2112.550606060606,850.0,3800.0
Palabek (refugee settlement),Batteries,Pair,20,2098.1495,1000.0,2500.0
Kotido,Millet,KG,60,2094.983333333333,1250.0,4125.0
Gulu,Maize flour,KG,185,2088.4531891891893,800.0,3860.0
Mukono,Cassava flour,KG,20,2064.8,1200.0,2650.0
Imvepi (refugee settlement),Rope,Unit,20,2063.65,267.0,8000.0
Owino,Maize flour,KG,181,2058.5434806629833,762.5,4000.0
Fort Portal,Cassava flour,KG,27,2057.8518518518517,1400.0,2800.0
Nakivale (refugee settlement),Rope,Unit,17,2056.176470588235,1000.0,3000.0
Kyangwali (refugee settlement),Batteries,Pair,23,2054.9708695652175,1000.0,2667.0
Owino,Sorghum,KG,158,2047.6296202531644,692.0,4184.0
Imvepi (refugee settlement),Leafy vegetables,KG,61,2042.8688524590164,722.0,7667.0
Lobule (refugee settlement),Leafy vegetables,KG,60,2028.2216666666668,588.0,4727.0
Karita,Cassava flour,KG,10,2019.8,1500.0,2500.0
Iganga,Millet,KG,147,2005.0122448979591,1150.0,3530.0
Bidibidi (refugee settlement),Underwear,Unit,54,2004.037037037037,1200.0,4625.0
Arua,Sorghum,KG,30,1999.6666666666667,800.0,3000.0
Palabek (refugee settlement),Leafy vegetables,KG,63,1997.920634920635,625.0,4643.0
Kiryandongo (refugee settlement),Rope,Unit,17,1980.3529411764705,1000.0,4833.0
Rhino Camp (refugee settlement),Milk (fresh),L,56,1977.6964285714287,1260.0,3000.0
Oruchinga (refugee settlement),Batteries,Pair,17,1969.1176470588234,1350.0,2500.0
Kyangwali (refugee settlement),Milk (fresh),L,66,1968.2424242424242,1043.0,3200.0
Kapchorwa,Maize flour,KG,146,1965.0376712328766,600.0,3425.0
Wakiso,Cassava flour,KG,23,1958.9565217391305,1400.0,2860.0
Adjumani (refugee settlement),Milk (fresh),L,32,1958.875,1238.0,2000.0
Palabek (refugee settlement),Salt,KG,65,1955.4769230769232,1575.0,2002.0
Lira,Maize flour,KG,181,1954.368232044199,800.0,3375.0
Adjumani (refugee settlement),Salt,KG,67,1949.1194029850747,1427.0,2400.0
Bidibidi (refugee settlement),Salt,KG,60,1944.2778333333333,1500.0,2000.0
Jinja,Maize flour,KG,111,1944.138108108108,575.0,3500.0
Wakiso,Maize (white),KG,37,1943.5583783783784,1175.0,2875.0
Palabek (refugee settlement),Serving spoon,Unit,21,1937.4466666666665,1000.0,2389.0
Masindi,Sorghum,KG,40,1929.1,1182.0,3333.0
